L,T,n,tmin,tmax,slope,intercept,r2
50,1.2,4095,2,4096,-0.06231944642610491,0.38437376989161676,0.9672626666773063
50,1.3,1631,2,1632,-0.08927381337556049,0.29533755099365067,0.9725222221602965
50,1.4,771,2,772,-0.1137247537508473,0.07049440642478588,0.9792850780941086
50,1.5,372,2,373,-0.1371268607709341,-0.1755101438718798,0.990501405772539
50,1.6,198,2,199,-0.16961227377643234,-0.2570624821669534,0.9850575980189756
